year,tong_luc,tong_luk,tong_lua_tom,tong_tsl,tong_bhk,climate_maxTAS_thuysan,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,dt_tsl_risk,dt_lua_caqrisk
2015,844750.0,734825.0,196300.0,561100.0,145525.0,30.0,400.0,28.0,180.0,27350.0,36025.0
2016,785100.0,757425.0,191175.0,574525.0,171250.0,30.0,400.0,28.0,180.0,30050.0,27325.0
2017,728175.0,788325.0,188475.0,580700.0,188900.0,30.0,400.0,28.0,180.0,29250.0,17000.0
2018,680125.0,821525.0,186750.0,585750.0,201000.0,30.0,400.0,28.0,180.0,30350.0,7000.0
2019,649675.0,839225.0,184625.0,586350.0,208225.0,30.0,400.0,28.0,180.0,30075.0,1900.0
2020,627475.0,851150.0,189350.0,585150.0,213000.0,30.0,400.0,28.0,180.0,44925.0,9850.0
2021,609100.0,860375.0,186700.0,587175.0,216700.0,30.0,400.0,28.0,180.0,45275.0,6875.0
2022,588150.0,873675.0,186375.0,586650.0,219900.0,30.0,400.0,28.0,180.0,45550.0,3900.0
2023,570950.0,882125.0,186800.0,587175.0,222800.0,30.0,400.0,28.0,180.0,44250.0,1525.0
2024,557425.0,890700.0,183850.0,587200.0,225000.0,30.0,400.0,28.0,180.0,46125.0,375.0
2025,545600.0,895600.0,171475.0,601750.0,227200.0,30.0,400.0,28.0,180.0,20700.0,75.0
2026,535575.0,898850.0,169625.0,603275.0,228425.0,30.0,400.0,28.0,180.0,21950.0,50.0
2027,526875.0,903000.0,168600.0,607525.0,229050.0,30.0,400.0,28.0,180.0,20475.0,75.0
2028,518175.0,899000.0,167725.0,607900.0,229575.0,30.0,400.0,28.0,180.0,20600.0,0.0
2029,509150.0,911150.0,165875.0,607050.0,230475.0,30.0,400.0,28.0,180.0,20425.0,25.0
2015,826450.0,733750.0,195650.0,560800.0,145500.0,30.0,400.0,28.0,180.0,27800.0,21525.0
2016,751775.0,789550.0,192600.0,572575.0,171425.0,30.0,400.0,28.0,180.0,29750.0,10125.0
2017,691000.0,824700.0,188750.0,581200.0,189700.0,30.0,400.0,28.0,180.0,28675.0,2275.0
2018,657825.0,838600.0,187475.0,583050.0,201975.0,30.0,400.0,28.0,180.0,30150.0,300.0
2019,642225.0,843600.0,183975.0,586575.0,208925.0,30.0,400.0,28.0,180.0,30675.0,125.0
2020,618875.0,859350.0,188800.0,585125.0,213650.0,30.0,400.0,28.0,180.0,44800.0,5375.0
2021,595800.0,871675.0,187700.0,585975.0,217400.0,30.0,400.0,28.0,180.0,45550.0,2100.0
2022,577425.0,884750.0,184525.0,589750.0,220075.0,30.0,400.0,28.0,180.0,46500.0,400.0
2023,564900.0,890400.0,184575.0,590950.0,223100.0,30.0,400.0,28.0,180.0,45650.0,75.0
2024,552100.0,893375.0,183875.0,591500.0,225175.0,30.0,400.0,28.0,180.0,44925.0,0.0
2025,542050.0,897125.0,172750.0,600500.0,227150.0,30.0,400.0,28.0,180.0,20625.0,0.0
2026,531200.0,901975.0,170700.0,603650.0,228350.0,30.0,400.0,28.0,180.0,20550.0,0.0
2027,521725.0,907050.0,169450.0,603750.0,230050.0,30.0,400.0,28.0,180.0,20575.0,0.0
2028,514875.0,911825.0,168275.0,608150.0,230775.0,30.0,400.0,28.0,180.0,20675.0,0.0
2029,507100.0,915700.0,166375.0,609875.0,231475.0,30.0,400.0,28.0,180.0,20325.0,0.0
2015,810825.0,767900.0,196575.0,561125.0,145375.0,30.0,400.0,28.0,180.0,28050.0,5600.0
2016,726850.0,814650.0,193075.0,573775.0,171250.0,30.0,400.0,28.0,180.0,28325.0,1175.0
2017,684475.0,832550.0,189325.0,581125.0,189500.0,30.0,400.0,28.0,180.0,28125.0,25.0
2018,661250.0,840700.0,186875.0,585900.0,201775.0,30.0,400.0,28.0,180.0,30100.0,0.0
2019,642175.0,846400.0,184075.0,589650.0,208850.0,30.0,400.0,28.0,180.0,30050.0,0.0
2020,616500.0,863450.0,189500.0,584950.0,213850.0,30.0,400.0,28.0,180.0,45425.0,1175.0
2021,590550.0,878650.0,188250.0,583775.0,217675.0,30.0,400.0,28.0,180.0,45200.0,325.0
2022,572775.0,885900.0,185025.0,589825.0,220975.0,30.0,400.0,28.0,180.0,46175.0,0.0
2023,564475.0,889850.0,184750.0,589950.0,223650.0,30.0,400.0,28.0,180.0,45550.0,0.0
2024,553450.0,894625.0,182575.0,589425.0,226000.0,30.0,400.0,28.0,180.0,44900.0,0.0
2025,542825.0,898625.0,171700.0,604100.0,228525.0,30.0,400.0,28.0,180.0,21650.0,0.0
2026,533275.0,904825.0,169525.0,606500.0,230400.0,30.0,400.0,28.0,180.0,21400.0,0.0
2027,523800.0,906825.0,167425.0,608050.0,231500.0,30.0,400.0,28.0,180.0,21150.0,0.0
2028,515325.0,907950.0,166500.0,607900.0,232225.0,30.0,400.0,28.0,180.0,21250.0,0.0
2029,508225.0,915450.0,166050.0,610425.0,232600.0,30.0,400.0,28.0,180.0,20725.0,0.0
2015,842450.0,731875.0,209025.0,549275.0,145725.0,30.0,400.0,28.0,180.0,16500.0,37000.0
2016,785300.0,750825.0,208075.0,557425.0,171400.0,30.0,400.0,28.0,180.0,16025.0,28675.0
2017,728700.0,790825.0,205475.0,564425.0,189300.0,30.0,400.0,28.0,180.0,15175.0,16925.0
2018,681625.0,817975.0,205775.0,565350.0,200450.0,30.0,400.0,28.0,180.0,14925.0,7300.0
2019,651000.0,840000.0,204525.0,569175.0,207750.0,30.0,400.0,28.0,180.0,15000.0,2325.0
2020,625900.0,852375.0,217575.0,554350.0,212300.0,30.0,400.0,28.0,180.0,23450.0,9325.0
2021,607825.0,862775.0,218200.0,554625.0,215975.0,30.0,400.0,28.0,180.0,23225.0,7075.0
2022,587725.0,873250.0,217675.0,557675.0,219475.0,30.0,400.0,28.0,180.0,22400.0,3600.0
2023,571050.0,882725.0,218575.0,556200.0,222250.0,30.0,400.0,28.0,180.0,21325.0,1075.0
2024,556650.0,889875.0,217975.0,556075.0,223950.0,30.0,400.0,28.0,180.0,21075.0,375.0
2025,545875.0,898150.0,201275.0,574150.0,226650.0,30.0,400.0,28.0,180.0,9325.0,25.0
2026,533675.0,898075.0,199450.0,574075.0,228125.0,30.0,400.0,28.0,180.0,8325.0,25.0
2027,525425.0,903450.0,197950.0,573500.0,228800.0,30.0,400.0,28.0,180.0,8225.0,50.0
2028,509825.0,907450.0,198050.0,576750.0,229900.0,30.0,400.0,28.0,180.0,7875.0,25.0
2029,506525.0,910225.0,195600.0,577325.0,230275.0,30.0,400.0,28.0,180.0,8400.0,0.0
2015,828275.0,749100.0,204075.0,549575.0,145425.0,30.0,400.0,28.0,180.0,16825.0,20500.0
2016,751025.0,790375.0,206350.0,559250.0,171250.0,30.0,400.0,28.0,180.0,15450.0,10225.0
2017,690525.0,824325.0,206550.0,563200.0,190025.0,30.0,400.0,28.0,180.0,14825.0,2175.0
2018,661050.0,837575.0,204175.0,567850.0,200750.0,30.0,400.0,28.0,180.0,14575.0,425.0
2019,640825.0,842600.0,204975.0,566250.0,208600.0,30.0,400.0,28.0,180.0,14875.0,125.0
2020,618600.0,851500.0,216550.0,556975.0,213025.0,30.0,400.0,28.0,180.0,23300.0,5300.0
2021,593550.0,872925.0,217400.0,554325.0,216975.0,30.0,400.0,28.0,180.0,23425.0,2225.0
2022,574750.0,884300.0,218375.0,556225.0,220525.0,30.0,400.0,28.0,180.0,23225.0,250.0
2023,562100.0,889525.0,218775.0,556450.0,223800.0,30.0,400.0,28.0,180.0,21025.0,25.0
2024,550675.0,889800.0,217425.0,557050.0,225675.0,30.0,400.0,28.0,180.0,20100.0,0.0
2025,540050.0,890925.0,199725.0,572850.0,227675.0,30.0,400.0,28.0,180.0,9225.0,0.0
2026,529900.0,900550.0,199225.0,574050.0,228925.0,30.0,400.0,28.0,180.0,8950.0,0.0
2027,517450.0,905250.0,197300.0,578175.0,230075.0,30.0,400.0,28.0,180.0,9325.0,0.0
2028,513550.0,910325.0,195150.0,579575.0,230700.0,30.0,400.0,28.0,180.0,7850.0,0.0
