year,tong_luc,tong_luk,tong_lua_tom,tong_tsl,tong_bhk,tong_lnk,climate_maxTAS_thuysan,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,dt_tsl_risk,dt_lua_caqrisk
2015,848150.0,707250.0,160900.0,598500.0,152475.0,515350.0,30.0,400.0,28.0,180.0,44375.0,53350.0
2016,809775.0,703300.0,139275.0,628900.0,179425.0,522725.0,30.0,400.0,28.0,180.0,51550.0,53800.0
2017,767375.0,703625.0,121750.0,650875.0,199075.0,531925.0,30.0,400.0,28.0,180.0,57425.0,51325.0
2018,747750.0,704175.0,106825.0,665700.0,213775.0,539100.0,30.0,400.0,28.0,180.0,60850.0,50750.0
2019,716250.0,702500.0,95050.0,680550.0,225300.0,554650.0,30.0,400.0,28.0,180.0,65625.0,51650.0
2020,702775.0,701925.0,85050.0,687150.0,233550.0,565800.0,30.0,400.0,28.0,180.0,91375.0,63475.0
2021,684275.0,700625.0,76250.0,699275.0,242725.0,579425.0,30.0,400.0,28.0,180.0,95975.0,63150.0
2022,665050.0,698775.0,68525.0,707875.0,249650.0,589675.0,30.0,400.0,28.0,180.0,96350.0,61675.0
2023,649450.0,696400.0,62025.0,714275.0,255900.0,601600.0,30.0,400.0,28.0,180.0,98750.0,62200.0
2024,635225.0,695800.0,56325.0,722525.0,261375.0,612275.0,30.0,400.0,28.0,180.0,102525.0,61675.0
2025,619025.0,690675.0,51575.0,721700.0,266050.0,624400.0,30.0,400.0,28.0,180.0,38125.0,48725.0
2026,606050.0,681675.0,47450.0,730750.0,270575.0,635425.0,30.0,400.0,28.0,180.0,39200.0,47925.0
2027,592725.0,687525.0,43825.0,734075.0,274750.0,646525.0,30.0,400.0,28.0,180.0,38175.0,47775.0
2028,582000.0,685850.0,40225.0,737850.0,278600.0,650325.0,30.0,400.0,28.0,180.0,38550.0,48100.0
2029,570575.0,683550.0,36700.0,736725.0,281700.0,660325.0,30.0,400.0,28.0,180.0,38100.0,46725.0
2030,559525.0,681575.0,33925.0,747750.0,284800.0,674650.0,30.0,400.0,28.0,180.0,108025.0,86525.0
2015,862675.0,680425.0,167900.0,566800.0,139175.0,518250.0,33.0,400.0,33.5,120.0,0.0,0.0
2016,798225.0,706700.0,155425.0,586125.0,156350.0,516275.0,33.0,400.0,33.5,120.0,0.0,0.0
2015,862250.0,686950.0,170100.0,567750.0,139150.0,519325.0,33.0,400.0,33.5,120.0,0.0,0.0
2016,796800.0,706050.0,155350.0,472725.0,156475.0,515600.0,33.0,400.0,33.5,120.0,0.0,0.0
2017,796200.0,609850.0,142525.0,516200.0,169025.0,515600.0,33.0,400.0,33.5,120.0,0.0,0.0
2015,761275.0,704425.0,170000.0,566000.0,139300.0,519725.0,33.0,400.0,33.5,120.0,0.0,0.0
2016,822225.0,651375.0,155125.0,586200.0,155900.0,517425.0,33.0,400.0,33.5,120.0,0.0,0.0
2017,723325.0,706925.0,142400.0,629525.0,168925.0,518225.0,33.0,400.0,33.5,120.0,0.0,0.0
2018,774250.0,706925.0,131325.0,649000.0,180575.0,429650.0,33.0,400.0,33.5,120.0,0.0,0.0
2019,757175.0,710025.0,121225.0,662400.0,188675.0,511575.0,33.0,400.0,33.5,120.0,0.0,0.0
2020,670900.0,678750.0,111500.0,676025.0,194375.0,523150.0,33.0,400.0,33.5,120.0,0.0,0.0
2021,733025.0,633425.0,102750.0,687375.0,199000.0,525250.0,33.0,400.0,33.5,120.0,0.0,0.0
2022,562150.0,626625.0,94800.0,698650.0,195075.0,526750.0,33.0,400.0,33.5,120.0,0.0,0.0
2023,713275.0,716475.0,73300.0,708325.0,206875.0,530225.0,33.0,400.0,33.5,120.0,0.0,0.0
2024,705850.0,717550.0,81500.0,653550.0,209475.0,419700.0,33.0,400.0,33.5,120.0,0.0,0.0
2025,690850.0,642800.0,75700.0,723650.0,212100.0,533625.0,33.0,400.0,33.5,120.0,0.0,0.0
2026,502075.0,718175.0,69850.0,663750.0,213800.0,535200.0,33.0,400.0,33.5,120.0,0.0,0.0
2027,686675.0,577550.0,64350.0,669275.0,215250.0,537125.0,33.0,400.0,33.5,120.0,0.0,0.0
2028,681525.0,721375.0,59925.0,623700.0,216550.0,539725.0,33.0,400.0,33.5,120.0,0.0,0.0
2029,604600.0,720975.0,55775.0,625575.0,217800.0,541000.0,33.0,400.0,33.5,120.0,0.0,0.0
2030,628700.0,723225.0,52225.0,753350.0,219300.0,492925.0,33.0,400.0,33.5,120.0,0.0,0.0
2015,871425.0,711875.0,166300.0,571250.0,139525.0,523175.0,33.0,400.0,33.5,120.0,0.0,0.0
2015,873600.0,701050.0,170600.0,572350.0,139650.0,523900.0,33.0,400.0,33.5,120.0,0.0,0.0
2015,869775.0,707250.0,170525.0,572400.0,139525.0,523675.0,33.0,400.0,33.5,120.0,0.0,0.0
2015,850350.0,697850.0,170600.0,570150.0,139475.0,524225.0,33.0,400.0,33.5,120.0,0.0,0.0
2015,873125.0,712675.0,170625.0,572575.0,139450.0,523850.0,33.0,400.0,33.5,120.0,0.0,0.0
2015,873450.0,709600.0,170525.0,572275.0,139525.0,502450.0,33.0,400.0,33.5,120.0,0.0,0.0
2015,873550.0,709500.0,169900.0,572550.0,139300.0,524200.0,33.0,400.0,33.5,120.0,0.0,0.0
2015,868175.0,710450.0,170275.0,569925.0,139275.0,522475.0,33.0,400.0,33.5,120.0,0.0,0.0
2015,864375.0,635050.0,170475.0,572075.0,139350.0,520925.0,33.0,400.0,33.5,120.0,0.0,0.0
2016,832525.0,714300.0,155400.0,611650.0,156450.0,517950.0,33.0,400.0,33.5,120.0,0.0,0.0
2016,834050.0,703625.0,155650.0,611600.0,156650.0,520575.0,33.0,400.0,33.5,120.0,0.0,0.0
2016,832650.0,697875.0,155000.0,602600.0,156500.0,520825.0,33.0,400.0,33.5,120.0,0.0,0.0
2016,815750.0,713750.0,155675.0,611725.0,156600.0,520875.0,33.0,400.0,33.5,120.0,0.0,0.0
2016,833300.0,712650.0,155575.0,611750.0,156450.0,520600.0,33.0,400.0,33.5,120.0,0.0,0.0
2016,824150.0,712900.0,155600.0,600750.0,155100.0,520525.0,33.0,400.0,33.5,120.0,0.0,0.0
2016,833900.0,696675.0,155650.0,611675.0,156350.0,502450.0,33.0,400.0,33.5,120.0,0.0,0.0
2016,770750.0,651475.0,155425.0,606750.0,156325.0,474475.0,33.0,400.0,33.5,120.0,0.0,0.0
2016,806100.0,710225.0,155400.0,607325.0,156475.0,521300.0,33.0,400.0,33.5,120.0,0.0,0.0
2017,806675.0,715075.0,142925.0,636925.0,169625.0,520950.0,33.0,400.0,33.5,120.0,0.0,0.0
2017,806725.0,715375.0,142925.0,618400.0,169625.0,520725.0,33.0,400.0,33.5,120.0,0.0,0.0
2017,807425.0,714900.0,142950.0,636950.0,169500.0,521025.0,33.0,400.0,33.5,120.0,0.0,0.0
2017,786000.0,715000.0,142900.0,636550.0,169700.0,521200.0,33.0,400.0,33.5,120.0,0.0,0.0
2017,745300.0,713900.0,139925.0,632700.0,169325.0,520675.0,33.0,400.0,33.5,120.0,0.0,0.0
2017,777675.0,714425.0,142900.0,637075.0,169425.0,520525.0,33.0,400.0,33.5,120.0,0.0,0.0
2017,741825.0,709075.0,142675.0,633000.0,165425.0,517350.0,33.0,400.0,33.5,120.0,0.0,0.0
2017,756975.0,715325.0,142925.0,636725.0,163625.0,518750.0,33.0,400.0,33.5,120.0,0.0,0.0
2017,746650.0,710450.0,142750.0,633775.0,169200.0,518225.0,33.0,400.0,33.5,120.0,0.0,0.0
2018,763500.0,714825.0,131675.0,654375.0,181250.0,521975.0,33.0,400.0,33.5,120.0,0.0,0.0
2018,772000.0,712150.0,131525.0,654000.0,181250.0,522500.0,33.0,400.0,33.5,120.0,0.0,0.0
2018,767975.0,705500.0,131700.0,655425.0,178975.0,509800.0,33.0,400.0,33.5,120.0,0.0,0.0
2018,784625.0,716725.0,131675.0,655725.0,181750.0,522075.0,33.0,400.0,33.5,120.0,0.0,0.0
2018,780075.0,715975.0,127750.0,650375.0,181175.0,522375.0,33.0,400.0,33.5,120.0,0.0,0.0
2018,785100.0,715075.0,131475.0,651425.0,181150.0,510875.0,33.0,400.0,33.5,120.0,0.0,0.0
2018,780500.0,712125.0,131300.0,652950.0,175900.0,506200.0,33.0,400.0,33.5,120.0,0.0,0.0
2018,784575.0,715650.0,131775.0,651750.0,181425.0,483875.0,33.0,400.0,33.5,120.0,0.0,0.0
2018,745275.0,714125.0,131725.0,655275.0,181250.0,519400.0,33.0,400.0,33.5,120.0,0.0,0.0
2019,761675.0,694675.0,121300.0,649275.0,189700.0,524625.0,33.0,400.0,33.5,120.0,0.0,0.0
2019,739200.0,717600.0,118875.0,669750.0,190000.0,523850.0,33.0,400.0,33.5,120.0,0.0,0.0
2019,754875.0,718550.0,121300.0,669700.0,190250.0,523625.0,33.0,400.0,33.5,120.0,0.0,0.0
2019,736275.0,718325.0,121350.0,670450.0,190025.0,524725.0,33.0,400.0,33.5,120.0,0.0,0.0
2019,746225.0,717975.0,120300.0,670650.0,189575.0,519525.0,33.0,400.0,33.5,120.0,0.0,0.0
2019,765700.0,716800.0,106575.0,618150.0,189450.0,523500.0,33.0,400.0,33.5,120.0,0.0,0.0
2019,735850.0,709750.0,121200.0,668950.0,189575.0,522950.0,33.0,400.0,33.5,120.0,0.0,0.0
2019,756650.0,663625.0,120925.0,662275.0,189025.0,519600.0,33.0,400.0,33.5,120.0,0.0,0.0
2019,761125.0,694950.0,121300.0,664700.0,189625.0,521600.0,33.0,400.0,33.5,120.0,0.0,0.0
2020,753425.0,718675.0,111875.0,684500.0,195900.0,514175.0,33.0,400.0,33.5,120.0,0.0,0.0
2020,753975.0,720450.0,111725.0,682050.0,194975.0,526900.0,33.0,400.0,33.5,120.0,0.0,0.0
2020,753700.0,719650.0,111750.0,684100.0,195675.0,526675.0,33.0,400.0,33.5,120.0,0.0,0.0
2020,754875.0,720550.0,111850.0,665025.0,196250.0,505350.0,33.0,400.0,33.5,120.0,0.0,0.0
2020,754125.0,716350.0,111875.0,683975.0,195500.0,513350.0,33.0,400.0,33.5,120.0,0.0,0.0
2020,727275.0,693800.0,111800.0,684100.0,195525.0,524575.0,33.0,400.0,33.5,120.0,0.0,0.0
2020,753525.0,713425.0,111725.0,680425.0,195300.0,525825.0,33.0,400.0,33.5,120.0,0.0,0.0
2020,753650.0,717350.0,111725.0,680825.0,190450.0,526200.0,33.0,400.0,33.5,120.0,0.0,0.0
2020,715575.0,717875.0,111825.0,684150.0,195825.0,526450.0,33.0,400.0,33.5,120.0,0.0,0.0
2021,741700.0,720950.0,102875.0,692150.0,200125.0,528400.0,33.0,400.0,33.5,120.0,0.0,0.0
2021,742025.0,721400.0,102875.0,695625.0,199900.0,527675.0,33.0,400.0,33.5,120.0,0.0,0.0
2021,742625.0,708200.0,102925.0,696325.0,195725.0,528400.0,33.0,400.0,33.5,120.0,0.0,0.0
2021,735675.0,720300.0,102700.0,694950.0,199825.0,526300.0,33.0,400.0,33.5,120.0,0.0,0.0
2021,711000.0,687950.0,102850.0,696375.0,200450.0,527700.0,33.0,400.0,33.5,120.0,0.0,0.0
2021,740725.0,720700.0,102850.0,695525.0,198300.0,527825.0,33.0,400.0,33.5,120.0,0.0,0.0
2021,661900.0,713550.0,102650.0,638900.0,199225.0,523050.0,33.0,400.0,33.5,120.0,0.0,0.0
2021,711925.0,713075.0,102925.0,695175.0,200475.0,528025.0,33.0,400.0,33.5,120.0,0.0,0.0
2021,740750.0,719175.0,102775.0,694300.0,200025.0,525800.0,33.0,400.0,33.5,120.0,0.0,0.0
2022,680800.0,721050.0,94975.0,696900.0,203750.0,529500.0,33.0,400.0,33.5,120.0,0.0,0.0
2022,732200.0,723125.0,95025.0,703975.0,203825.0,513675.0,33.0,400.0,33.5,120.0,0.0,0.0
2022,677250.0,723100.0,94975.0,706850.0,204600.0,528350.0,33.0,400.0,33.5,120.0,0.0,0.0
2022,732675.0,723075.0,94975.0,704875.0,204300.0,529875.0,33.0,400.0,33.5,120.0,0.0,0.0
2022,732100.0,719675.0,95025.0,703975.0,204425.0,530800.0,33.0,400.0,33.5,120.0,0.0,0.0
2022,732325.0,712025.0,94900.0,698625.0,201150.0,529725.0,33.0,400.0,33.5,120.0,0.0,0.0
2022,732250.0,715725.0,94875.0,707400.0,204275.0,529925.0,33.0,400.0,33.5,120.0,0.0,0.0
2022,715450.0,661650.0,95000.0,706675.0,202975.0,529175.0,33.0,400.0,33.5,120.0,0.0,0.0
2022,727775.0,706275.0,94975.0,702775.0,204800.0,529500.0,33.0,400.0,33.5,120.0,0.0,0.0
2023,718125.0,722850.0,88000.0,693150.0,196700.0,531825.0,33.0,400.0,33.5,120.0,0.0,0.0
2023,722675.0,723150.0,87950.0,716150.0,205875.0,533275.0,33.0,400.0,33.5,120.0,0.0,0.0
2023,717050.0,724225.0,87925.0,714325.0,208525.0,526750.0,33.0,400.0,33.5,120.0,0.0,0.0
2023,709900.0,724225.0,88000.0,706175.0,207475.0,533150.0,33.0,400.0,33.5,120.0,0.0,0.0
2023,723450.0,724200.0,87900.0,717025.0,208750.0,531100.0,33.0,400.0,33.5,120.0,0.0,0.0
2023,719150.0,722500.0,87900.0,700400.0,208075.0,531275.0,33.0,400.0,33.5,120.0,0.0,0.0
2023,707025.0,721975.0,88000.0,676425.0,207875.0,532125.0,33.0,400.0,33.5,120.0,0.0,0.0
2023,717525.0,636875.0,87875.0,711625.0,207650.0,528825.0,33.0,400.0,33.5,120.0,0.0,0.0
2023,717650.0,711925.0,87950.0,715475.0,207450.0,531950.0,33.0,400.0,33.5,120.0,0.0,0.0
2024,713575.0,722450.0,81725.0,724400.0,211100.0,534050.0,33.0,400.0,33.5,120.0,0.0,0.0
2024,705850.0,724175.0,81775.0,723375.0,211250.0,534725.0,33.0,400.0,33.5,120.0,0.0,0.0
2024,713975.0,725600.0,81750.0,725000.0,209125.0,533450.0,33.0,400.0,33.5,120.0,0.0,0.0
2024,712900.0,726225.0,81775.0,725000.0,211000.0,535350.0,33.0,400.0,33.5,120.0,0.0,0.0
2024,715075.0,723750.0,81775.0,724600.0,211250.0,534500.0,33.0,400.0,33.5,120.0,0.0,0.0
2024,711275.0,722250.0,81750.0,724075.0,211025.0,533600.0,33.0,400.0,33.5,120.0,0.0,0.0
2024,714025.0,724100.0,81775.0,713125.0,208650.0,525725.0,33.0,400.0,33.5,120.0,0.0,0.0
2024,714500.0,724575.0,81775.0,724175.0,210725.0,533500.0,33.0,400.0,33.5,120.0,0.0,0.0
2024,670725.0,617950.0,81675.0,669600.0,210825.0,531475.0,33.0,400.0,33.5,120.0,0.0,0.0
2025,688450.0,725500.0,75775.0,732075.0,213325.0,537025.0,33.0,400.0,33.5,120.0,0.0,0.0
2025,706075.0,724800.0,75775.0,732975.0,213425.0,536500.0,33.0,400.0,33.5,120.0,0.0,0.0
2025,707975.0,726200.0,75775.0,731925.0,212800.0,536625.0,33.0,400.0,33.5,120.0,0.0,0.0
2025,704050.0,724900.0,75750.0,732500.0,211450.0,535575.0,33.0,400.0,33.5,120.0,0.0,0.0
2025,705650.0,711875.0,75775.0,732825.0,214700.0,521600.0,33.0,400.0,33.5,120.0,0.0,0.0
2025,705725.0,699400.0,75650.0,724925.0,213425.0,536100.0,33.0,400.0,33.5,120.0,0.0,0.0
2025,654600.0,722625.0,75675.0,702550.0,213250.0,516375.0,33.0,400.0,33.5,120.0,0.0,0.0
2025,705575.0,640525.0,75775.0,705850.0,213150.0,535100.0,33.0,400.0,33.5,120.0,0.0,0.0
2025,706550.0,725650.0,75675.0,722400.0,213400.0,536500.0,33.0,400.0,33.5,120.0,0.0,0.0
2026,675350.0,728125.0,69950.0,740050.0,214800.0,538900.0,33.0,400.0,33.5,120.0,0.0,0.0
2026,690650.0,720650.0,69975.0,740500.0,215275.0,539000.0,33.0,400.0,33.5,120.0,0.0,0.0
2026,700025.0,727500.0,70000.0,739625.0,215250.0,531825.0,33.0,400.0,33.5,120.0,0.0,0.0
2026,701350.0,727075.0,70000.0,740675.0,214500.0,538825.0,33.0,400.0,33.5,120.0,0.0,0.0
2026,700575.0,726525.0,70000.0,699225.0,215225.0,538875.0,33.0,400.0,33.5,120.0,0.0,0.0
2026,700050.0,681850.0,69875.0,738900.0,216400.0,538025.0,33.0,400.0,33.5,120.0,0.0,0.0
2026,626750.0,722225.0,69925.0,736550.0,215525.0,528275.0,33.0,400.0,33.5,120.0,0.0,0.0
2026,677600.0,720500.0,69950.0,737025.0,214850.0,538775.0,33.0,400.0,33.5,120.0,0.0,0.0
2026,659050.0,723975.0,69925.0,736625.0,204500.0,522650.0,33.0,400.0,33.5,120.0,0.0,0.0
2027,666575.0,728375.0,64475.0,747200.0,216475.0,539925.0,33.0,400.0,33.5,120.0,0.0,0.0
2027,689400.0,728950.0,64450.0,747550.0,218050.0,540500.0,33.0,400.0,33.5,120.0,0.0,0.0
2027,693875.0,701500.0,64475.0,746450.0,216800.0,536875.0,33.0,400.0,33.5,120.0,0.0,0.0
2027,680450.0,728725.0,64400.0,746625.0,217500.0,541450.0,33.0,400.0,33.5,120.0,0.0,0.0
2027,694675.0,728025.0,64475.0,748750.0,216850.0,540475.0,33.0,400.0,33.5,120.0,0.0,0.0
2027,693300.0,702350.0,64475.0,746350.0,216475.0,539950.0,33.0,400.0,33.5,120.0,0.0,0.0
2027,695500.0,727375.0,64450.0,732275.0,214000.0,536700.0,33.0,400.0,33.5,120.0,0.0,0.0
2027,693100.0,728350.0,64475.0,746675.0,217075.0,539750.0,33.0,400.0,33.5,120.0,0.0,0.0
2027,693175.0,723925.0,64350.0,676775.0,215675.0,516275.0,33.0,400.0,33.5,120.0,0.0,0.0
2028,687775.0,728575.0,60000.0,712875.0,217300.0,541875.0,33.0,400.0,33.5,120.0,0.0,0.0
2028,687825.0,728725.0,60000.0,753200.0,218450.0,542850.0,33.0,400.0,33.5,120.0,0.0,0.0
2028,689050.0,729125.0,59950.0,751850.0,218225.0,530700.0,33.0,400.0,33.5,120.0,0.0,0.0
2028,686925.0,729175.0,59975.0,753675.0,216800.0,542625.0,33.0,400.0,33.5,120.0,0.0,0.0
2028,688975.0,727875.0,60000.0,753575.0,217675.0,541800.0,33.0,400.0,33.5,120.0,0.0,0.0
2028,686625.0,728775.0,59975.0,753700.0,219700.0,541850.0,33.0,400.0,33.5,120.0,0.0,0.0
2028,685525.0,724750.0,59950.0,753300.0,217750.0,541250.0,33.0,400.0,33.5,120.0,0.0,0.0
2028,683525.0,730300.0,60000.0,753850.0,218550.0,541425.0,33.0,400.0,33.5,120.0,0.0,0.0
2028,684125.0,652400.0,59975.0,748075.0,217875.0,541025.0,33.0,400.0,33.5,120.0,0.0,0.0
2029,681400.0,728925.0,55850.0,753050.0,219275.0,543000.0,33.0,400.0,33.5,120.0,0.0,0.0
2029,672150.0,730675.0,55825.0,757375.0,220175.0,543050.0,33.0,400.0,33.5,120.0,0.0,0.0
