year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,868675.0,796000.0,172325.0,579675.0,110650.0,470925.0,37.0,400.0,36.0,200.0,0.0,825.0
2016,848675.0,813875.0,151900.0,601825.0,111500.0,470475.0,37.0,400.0,36.0,200.0,0.0,850.0
2017,838925.0,822200.0,136000.0,618400.0,112050.0,470675.0,37.0,400.0,36.0,200.0,125.0,49250.0
2018,834100.0,826075.0,122025.0,632625.0,112725.0,470700.0,37.0,400.0,36.0,200.0,0.0,39700.0
2019,831525.0,827900.0,111225.0,643500.0,113225.0,470875.0,37.0,400.0,36.0,200.0,127400.0,65850.0
2020,830075.0,828700.0,102950.0,651875.0,113375.0,471275.0,37.0,400.0,36.0,200.0,158975.0,78000.0
2021,829225.0,829175.0,95725.0,659200.0,113575.0,471350.0,37.0,400.0,36.0,200.0,147625.0,77450.0
2022,828425.0,829550.0,89400.0,665600.0,113725.0,471550.0,37.0,400.0,36.0,200.0,125.0,67100.0
2023,827875.0,829675.0,84225.0,670800.0,113875.0,471800.0,37.0,400.0,36.0,200.0,100.0,44900.0
2024,827475.0,829800.0,79875.0,675175.0,114075.0,471850.0,37.0,400.0,36.0,200.0,700.0,59875.0
2025,827125.0,829925.0,76200.0,678850.0,114200.0,471950.0,37.0,400.0,36.0,200.0,125.0,29825.0
2026,826850.0,830050.0,73225.0,681825.0,114200.0,472100.0,37.0,400.0,36.0,200.0,0.0,31525.0
2027,826600.0,830125.0,70825.0,684225.0,114250.0,472225.0,37.0,400.0,36.0,200.0,5850.0,79025.0
2028,826375.0,830225.0,68475.0,686575.0,114250.0,472350.0,37.0,400.0,36.0,200.0,156500.0,75900.0
2029,826125.0,830350.0,66100.0,688950.0,114250.0,472475.0,37.0,400.0,36.0,200.0,325.0,59525.0
2030,825975.0,830450.0,64125.0,690925.0,114175.0,472600.0,37.0,400.0,36.0,200.0,275.0,66200.0
2031,825850.0,830525.0,62025.0,693025.0,114150.0,472675.0,37.0,400.0,36.0,200.0,2400.0,22125.0
2032,825800.0,830550.0,60125.0,694925.0,114100.0,472750.0,37.0,400.0,36.0,200.0,133475.0,72425.0
2033,825650.0,830575.0,58400.0,696650.0,114075.0,472900.0,37.0,400.0,36.0,200.0,0.0,54750.0
2034,825625.0,830575.0,56625.0,698425.0,114075.0,472925.0,37.0,400.0,36.0,200.0,425.0,17325.0
2035,825575.0,830550.0,54875.0,700175.0,113975.0,473100.0,37.0,400.0,36.0,200.0,275.0,66200.0
2036,825550.0,830525.0,53250.0,701800.0,113975.0,473150.0,37.0,400.0,36.0,200.0,5725.0,58125.0
2037,825550.0,830500.0,52150.0,702900.0,113975.0,473175.0,37.0,400.0,36.0,200.0,4975.0,76700.0
2038,825500.0,830500.0,51200.0,703850.0,113975.0,473225.0,37.0,400.0,36.0,200.0,150.0,75350.0
2039,825500.0,830475.0,50275.0,704775.0,113975.0,473250.0,37.0,400.0,36.0,200.0,183475.0,77700.0
2040,825500.0,830475.0,49350.0,705700.0,113975.0,473250.0,37.0,400.0,36.0,200.0,4025.0,74825.0
2041,825450.0,830450.0,48425.0,706675.0,113950.0,473300.0,37.0,400.0,36.0,200.0,161350.0,77425.0
2042,825450.0,830425.0,47675.0,707475.0,113925.0,473300.0,37.0,400.0,36.0,200.0,7525.0,78725.0
2043,825450.0,830425.0,47025.0,708175.0,113925.0,473250.0,37.0,400.0,36.0,200.0,193625.0,78600.0
2044,825350.0,830525.0,46450.0,708950.0,113775.0,473200.0,37.0,400.0,36.0,200.0,157725.0,78300.0
2045,825250.0,830600.0,45700.0,709725.0,113775.0,473200.0,37.0,400.0,36.0,200.0,5250.0,74575.0
2046,825250.0,830525.0,45025.0,710575.0,113775.0,473100.0,37.0,400.0,36.0,200.0,105425.0,75625.0
2047,825250.0,830450.0,44375.0,711350.0,113775.0,473050.0,37.0,400.0,36.0,200.0,195325.0,78775.0
2048,825200.0,830450.0,43650.0,712150.0,113775.0,473025.0,37.0,400.0,36.0,200.0,184600.0,78375.0
2049,825200.0,830450.0,42900.0,712975.0,113775.0,472950.0,37.0,400.0,36.0,200.0,56275.0,76775.0
2050,825200.0,830450.0,42175.0,713700.0,113775.0,472950.0,37.0,400.0,36.0,200.0,0.0,0.0
2051,825050.0,830575.0,41425.0,714500.0,113775.0,472925.0,37.0,400.0,36.0,200.0,0.0,0.0
