year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,807600.0,803375.0,164525.0,610475.0,111550.0,500725.0,37.0,400.0,36.0,200.0,0.0,650.0
2016,768350.0,814250.0,142600.0,640825.0,117925.0,514300.0,37.0,400.0,36.0,200.0,0.0,650.0
2017,734650.0,822100.0,124300.0,662650.0,124750.0,529800.0,37.0,400.0,36.0,200.0,125.0,42400.0
2018,705475.0,827100.0,109225.0,680050.0,130000.0,546400.0,37.0,400.0,36.0,200.0,0.0,34800.0
2019,679475.0,831175.0,97450.0,693350.0,133750.0,563050.0,37.0,400.0,36.0,200.0,133525.0,57075.0
2020,652800.0,840450.0,87800.0,706025.0,156275.0,554900.0,37.0,400.0,36.0,200.0,170600.0,60225.0
2021,629950.0,843925.0,79175.0,715625.0,170450.0,559125.0,37.0,400.0,36.0,200.0,160775.0,60525.0
2022,609300.0,845000.0,72225.0,723250.0,178525.0,569950.0,37.0,400.0,36.0,200.0,150.0,48375.0
2023,589975.0,845775.0,66525.0,729375.0,184075.0,582525.0,37.0,400.0,36.0,200.0,175.0,28725.0
2024,573800.0,845900.0,61500.0,734750.0,188125.0,594175.0,37.0,400.0,36.0,200.0,625.0,43425.0
2025,559600.0,845625.0,57075.0,739300.0,191225.0,605425.0,37.0,400.0,36.0,200.0,100.0,16500.0
2026,546000.0,844425.0,53125.0,743350.0,194000.0,617350.0,37.0,400.0,36.0,200.0,0.0,16600.0
2027,533400.0,843300.0,49625.0,747000.0,196400.0,628525.0,37.0,400.0,36.0,200.0,6425.0,49900.0
2028,521750.0,842450.0,46275.0,750525.0,198050.0,639200.0,37.0,400.0,36.0,200.0,168925.0,48850.0
2029,511800.0,840750.0,43300.0,753700.0,199550.0,649150.0,37.0,400.0,36.0,200.0,425.0,37575.0
2015,808300.0,804275.0,164525.0,610475.0,111325.0,499350.0,37.0,400.0,36.0,200.0,0.0,675.0
